# qSol1, qSol2, qSol3, t
2.36796e-01, 3.59318e-01, -5.27238e-03, 1.78000e+00
2.56462e-01, 3.43948e-01, 1.73475e-02, 1.80000e+00
2.72746e-01, 3.20329e-01, 4.64748e-02, 1.82000e+00
2.84531e-01, 2.90305e-01, 8.10593e-02, 1.84000e+00
2.90752e-01, 2.55992e-01, 1.19815e-01, 1.86000e+00
2.90481e-01, 2.19652e-01, 1.61286e-01, 1.88000e+00
2.83008e-01, 1.83549e-01, 2.03922e-01, 1.90000e+00
2.67916e-01, 1.49822e-01, 2.46156e-01, 1.92000e+00
2.45136e-01, 1.20354e-01, 2.86474e-01, 1.94000e+00
2.14992e-01, 9.66659e-02, 3.23484e-01, 1.96000e+00
1.78215e-01, 7.98393e-02, 3.55977e-01, 1.98000e+00
1.35938e-01, 7.04597e-02, 3.82969e-01, 2.00000e+00
8.96579e-02, 6.85976e-02, 4.03734e-01, 2.02000e+00
4.11828e-02, 7.38209e-02, 4.17819e-01, 2.04000e+00
-7.45232e-03, 8.52390e-02, 4.25046e-01, 2.06000e+00
-5.40830e-02, 1.01575e-01, 4.25496e-01, 2.08000e+00
-9.65273e-02, 1.21261e-01, 4.19484e-01, 2.10000e+00
-1.32703e-01, 1.42551e-01, 4.07521e-01, 2.12000e+00
-1.60748e-01, 1.63641e-01, 3.90266e-01, 2.14000e+00
-1.79125e-01, 1.82791e-01, 3.68483e-01, 2.16000e+00
-1.86724e-01, 1.98440e-01, 3.42987e-01, 2.18000e+00
-1.82930e-01, 2.09306e-01, 3.14597e-01, 2.20000e+00
-1.67682e-01, 2.14469e-01, 2.84094e-01, 2.22000e+00
-1.41483e-01, 2.13417e-01, 2.52192e-01, 2.24000e+00
-1.05400e-01, 2.06080e-01, 2.19504e-01, 2.26000e+00
-6.10179e-02, 1.92814e-01, 1.86539e-01, 2.28000e+00
-1.03680e-02, 1.74374e-01, 1.53690e-01, 2.30000e+00
4.41643e-02, 1.51847e-01, 1.21247e-01, 2.32000e+00
9.99582e-02, 1.26566e-01, 8.94109e-02, 2.34000e+00
1.54288e-01, 1.00014e-01, 5.83144e-02, 2.36000e+00
2.04461e-01, 7.37058e-02, 2.80509e-02, 2.38000e+00
2.47954e-01, 4.90848e-02, -1.29817e-03, 2.40000e+00
2.82546e-01, 2.74104e-02, -2.96364e-02, 2.42000e+00
3.06426e-01, 9.66858e-03, -5.68289e-02, 2.44000e+00
3.18291e-01, -3.50116e-03, -8.26861e-02, 2.46000e+00
3.17405e-01, -1.18535e-02, -1.06954e-01, 2.48000e+00
3.03636e-01, -1.55567e-02, -1.29316e-01, 2.50000e+00
2.77459e-01, -1.51817e-02, -1.49399e-01, 2.52000e+00
2.39923e-01, -1.16634e-02, -1.66797e-01, 2.54000e+00
1.92593e-01, -6.23355e-03, -1.81094e-01, 2.56000e+00
1.37461e-01, -3.33202e-04, -1.91900e-01, 2.58000e+00
7.68408e-02, 4.49250e-03, -1.98882e-01, 2.60000e+00
1.32424e-02, 6.70821e-03, -2.01807e-01, 2.62000e+00
-5.07569e-02, 4.90401e-03, -2.00576e-01, 2.64000e+00
-1.12644e-01, -2.09527e-03, -1.95251e-01, 2.66000e+00
