# qSol1, qSol2, qSol3, t
-4.93691e-02, 1.70005e-02, 4.41296e-01, 7.82000e+00
-3.15755e-02, 9.62771e-04, 4.61111e-01, 7.84000e+00
-1.24897e-02, -6.56439e-03, 4.71753e-01, 7.86000e+00
6.97888e-03, -4.69043e-03, 4.72860e-01, 7.88000e+00
2.60920e-02, 6.91888e-03, 4.64449e-01, 7.90000e+00
4.43187e-02, 2.80138e-02, 4.46917e-01, 7.92000e+00
6.13514e-02, 5.77680e-02, 4.21037e-01, 7.94000e+00
7.71019e-02, 9.48206e-02, 3.87915e-01, 7.96000e+00
9.16778e-02, 1.37351e-01, 3.48950e-01, 7.98000e+00
1.05342e-01, 1.83180e-01, 3.05765e-01, 8.00000e+00
1.18460e-01, 2.29896e-01, 2.60135e-01, 8.02000e+00
1.31435e-01, 2.74992e-01, 2.13898e-01, 8.04000e+00
1.44645e-01, 3.16011e-01, 1.68874e-01, 8.06000e+00
1.58376e-01, 3.50687e-01, 1.26777e-01, 8.08000e+00
1.72771e-01, 3.77075e-01, 8.91377e-02, 8.10000e+00
1.87777e-01, 3.93662e-01, 5.72307e-02, 8.12000e+00
2.03127e-01, 3.99450e-01, 3.20230e-02, 8.14000e+00
2.18322e-01, 3.94012e-01, 1.41330e-02, 8.16000e+00
2.32649e-01, 3.77512e-01, 3.80938e-03, 8.18000e+00
2.45209e-01, 3.50684e-01, 9.30128e-04, 8.20000e+00
2.54968e-01, 3.14789e-01, 5.01917e-03, 8.22000e+00
2.60825e-01, 2.71530e-01, 1.52810e-02, 8.24000e+00
2.61688e-01, 2.22951e-01, 3.06504e-02, 8.26000e+00
2.56557e-01, 1.71306e-01, 4.98543e-02, 8.28000e+00
2.44611e-01, 1.18933e-01, 7.14819e-02, 8.30000e+00
2.25286e-01, 6.81083e-02, 9.40596e-02, 8.32000e+00
1.98344e-01, 2.09205e-02, 1.16125e-01, 8.34000e+00
1.63921e-01, -2.08486e-02, 1.36299e-01, 8.36000e+00
1.22559e-01, -5.58189e-02, 1.53346e-01, 8.38000e+00
7.52102e-02, -8.30810e-02, 1.66230e-01, 8.40000e+00
2.32209e-02, -1.02234e-01, 1.74150e-01, 8.42000e+00
-3.17187e-02, -1.13392e-01, 1.76564e-01, 8.44000e+00
-8.76417e-02, -1.17153e-01, 1.73202e-01, 8.46000e+00
-1.42395e-01, -1.14545e-01, 1.64052e-01, 8.48000e+00
-1.93747e-01, -1.06943e-01, 1.49349e-01, 8.50000e+00
-2.39501e-01, -9.59616e-02, 1.29533e-01, 8.52000e+00
-2.77617e-01, -8.33414e-02, 1.05218e-01, 8.54000e+00
-3.06326e-01, -7.08256e-02, 7.71379e-02, 8.56000e+00
-3.24238e-01, -6.00417e-02, 4.61005e-02, 8.58000e+00
-3.30426e-01, -5.23923e-02, 1.29385e-02, 8.60000e+00
-3.24492e-01, -4.89648e-02, -2.15350e-02, 8.62000e+00
-3.06606e-01, -5.04636e-02, -5.65643e-02, 8.64000e+00
-2.77511e-01, -5.71710e-02, -9.14806e-02, 8.66000e+00
-2.38500e-01, -6.89367e-02, -1.25720e-01, 8.68000e+00
-1.91363e-01, -8.51988e-02, -1.58834e-01, 8.70000e+00
-1.38302e-01, -1.05033e-01, -1.90483e-01, 8.72000e+00
-8.18239e-02, -1.27224e-01, -2.20430e-01, 8.74000e+00
-2.46217e-02, -1.50365e-01, -2.48517e-01, 8.76000e+00
3.05657e-02, -1.72955e-01, -2.74644e-01, 8.78000e+00
8.10904e-02, -1.93520e-01, -2.98737e-01, 8.80000e+00
1.24530e-01, -2.10717e-01, -3.20724e-01, 8.82000e+00
1.58813e-01, -2.23436e-01, -3.40506e-01, 8.84000e+00
1.82319e-01, -2.30882e-01, -3.57943e-01, 8.86000e+00
1.93964e-01, -2.32641e-01, -3.72833e-01, 8.88000e+00
1.93248e-01, -2.28706e-01, -3.84914e-01, 8.90000e+00
1.80278e-01, -2.19489e-01, -3.93867e-01, 8.92000e+00
1.55753e-01, -2.05793e-01, -3.99331e-01, 8.94000e+00
1.20923e-01, -1.88759e-01, -4.00925e-01, 8.96000e+00
7.75117e-02, -1.69788e-01, -3.98280e-01, 8.98000e+00
2.76267e-02, -1.50446e-01, -3.91072e-01, 9.00000e+00
-2.63605e-02, -1.32349e-01, -3.79061e-01, 9.02000e+00
-8.19398e-02, -1.17052e-01, -3.62130e-01, 9.04000e+00
-1.36593e-01, -1.05930e-01, -3.40311e-01, 9.06000e+00
-1.87920e-01, -1.00078e-01, -3.13822e-01, 9.08000e+00
-2.33761e-01, -1.00222e-01, -2.83075e-01, 9.10000e+00
-2.72291e-01, -1.06654e-01, -2.48687e-01, 9.12000e+00
-3.02101e-01, -1.19200e-01, -2.11474e-01, 9.14000e+00
-3.22253e-01, -1.37212e-01, -1.72428e-01, 9.16000e+00
-3.32300e-01, -1.59596e-01, -1.32685e-01, 9.18000e+00
-3.32286e-01, -1.84870e-01, -9.34852e-02, 9.20000e+00
-3.22711e-01, -2.11249e-01, -5.61116e-02, 9.22000e+00
-3.04480e-01, -2.36747e-01, -2.18341e-02, 9.24000e+00
-2.78825e-01, -2.59307e-01, 8.15723e-03, 9.26000e+00
-2.47215e-01, -2.76923e-01, 3.28164e-02, 9.28000e+00
-2.11257e-01, -2.87776e-01, 5.13024e-02, 9.30000e+00
-1.72600e-01, -2.90351e-01, 6.30320e-02, 9.32000e+00
-1.32835e-01, -2.83545e-01, 6.77213e-02, 9.34000e+00
-9.34083e-02, -2.66745e-01, 6.54137e-02, 9.36000e+00
-5.55585e-02, -2.39883e-01, 5.64908e-02, 9.38000e+00
-2.02595e-02, -2.03452e-01, 4.16662e-02, 9.40000e+00
1.18059e-02, -1.58498e-01, 2.19618e-02, 9.42000e+00
4.02530e-02, -1.06563e-01, -1.33426e-03, 9.44000e+00
6.49794e-02, -4.96146e-02, -2.67230e-02, 9.46000e+00
8.61309e-02, 1.00681e-02, -5.25642e-02, 9.48000e+00
1.04050e-01, 7.00151e-02, -7.71544e-02, 9.50000e+00
1.19212e-01, 1.27707e-01, -9.88099e-02, 9.52000e+00
1.32160e-01, 1.80719e-01, -1.15950e-01, 9.54000e+00
1.43430e-01, 2.26856e-01, -1.27179e-01, 9.56000e+00
1.53489e-01, 2.64282e-01, -1.31353e-01, 9.58000e+00
1.62681e-01, 2.91626e-01, -1.27644e-01, 9.60000e+00
1.71181e-01, 3.08054e-01, -1.15583e-01, 9.62000e+00
1.78980e-01, 3.13323e-01, -9.50809e-02, 9.64000e+00
1.85870e-01, 3.07785e-01, -6.64427e-02, 9.66000e+00
1.91469e-01, 2.92367e-01, -3.03489e-02, 9.68000e+00
1.95249e-01, 2.68513e-01, 1.21743e-02, 9.70000e+00
1.96586e-01, 2.38093e-01, 5.98048e-02, 9.72000e+00
1.94824e-01, 2.03293e-01, 1.10988e-01, 9.74000e+00
1.89345e-01, 1.66481e-01, 1.64011e-01, 9.76000e+00
1.79636e-01, 1.30068e-01, 2.17083e-01, 9.78000e+00
1.65362e-01, 9.63677e-02, 2.68423e-01, 9.80000e+00
1.46426e-01, 6.74586e-02, 3.16336e-01, 9.82000e+00
1.23007e-01, 4.50688e-02, 3.59290e-01, 9.84000e+00
9.55959e-02, 3.04789e-02, 3.95983e-01, 9.86000e+00
6.49954e-02, 2.44553e-02, 4.25393e-01, 9.88000e+00
3.23060e-02, 2.72151e-02, 4.46811e-01, 9.90000e+00
-1.11481e-03, 3.84251e-02, 4.59866e-01, 9.92000e+00
-3.37125e-02, 5.72351e-02, 4.64519e-01, 9.94000e+00
-6.38148e-02, 8.23414e-02, 4.61051e-01, 9.96000e+00
-8.97239e-02, 1.12078e-01, 4.50028e-01, 9.98000e+00
